Identity,Link,Location,Area,Beds,Baths,Price,ATM Machines,Accessible by Road,Balloted,Barbeque Area,Boundary Lines,Boundary Wall,Broadband Internet Access,Business Center or Media Room in Building,CCTV Security,Cafeteria/Canteen,Central Air Conditioning,Central Heating,Communal/Shared Kitchen,Community Centre,Community Gym,Community Lawn or Garden,Community Swimming Pool,Conference Room in Building,Corner,Day Care Centre,Dining Room,Disputed,Double Glazed Windows,Drawing Room,Electricity,Electricity Backup,Elevator or Lift,Facilities for Disabled,File,First Aid or Medical Centre,Flooring,Furnished,Gym,Intercom,Irrigation,Jacuzzi,Kids Play Area,Land Fertility,Laundry Room,Laundry or Dry Cleaning Facility,Lawn or Garden,Lobby in Building,Lounge or Sitting Room,Maintenance Staff,Mosque,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Nearby Water Resources,Park Facing,Perimeter Fencing,Pet Policy,Possesion,Powder Room,Prayer Room,Public Parking,Satellite or Cable TV Ready,Sauna,Security Staff,Service Elevators in Building,Sewerage,Steam Room,Study Room,Sui Gas,Swimming Pool,Tube Wells,Underground Parking,Waste Disposal,Water Supply,Built in year,Distance From Airport (kms),Elevators,Floor,Floors,Floors in Building,Kitchens,Parking Spaces,Servant Quarters,Store Rooms
Flat 44775399,https://www.zameen.com/Property/emaar_crescent_bay_emaar_pearl_towers_2_bedroom_apartment_available_for_sale_in_emaar_pearl_tower-44775399-10719-1.html,Karachi Flats > DHA Defence Flats > DHA Phase 8 Flats > Emaar Crescent Bay Flats > Emaar Pearl Towers Flats,182.0,2.0,3.0,58000000.0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Flat 44775417,https://www.zameen.com/Property/dha_phase_8_hmr_waterfront_2_bedroom_full_sea_facing_apartment_available_on_easy_instalment_in_hmr_waterfront_tower-44775417-19639-1.html,Karachi Flats > DHA Defence Flats > DHA Phase 8 Flats > HMR Waterfront Flats,150.0,2.0,3.0,50000000.0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Flat 44775436,https://www.zameen.com/Property/dha_phase_8_hmr_waterfront_2_bedroom_pool_and_city_view_apartment_available_for_sale_on_easy_instalment_in_h_m_r_waterfront_tower_3-44775436-19639-1.html,Karachi Flats > DHA Defence Flats > DHA Phase 8 Flats > HMR Waterfront Flats,128.0,2.0,3.0,43500000.0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Flat 44775453,https://www.zameen.com/Property/dha_phase_8_hmr_waterfront_2_bedroom_premium_sea_facing_apartment_available_on_easy_instalment_in_hmr_waterfront_tower_3-44775453-19639-1.html,Karachi Flats > DHA Defence Flats > DHA Phase 8 Flats > HMR Waterfront Flats,216.0,2.0,3.0,65000000.0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
Flat 45344165,https://www.zameen.com/Property/emaar_crescent_bay_emaar_pearl_towers_3_bedroom_apartment_available_for_sale_in_emaar_pearl_tower-45344165-10719-1.html,Karachi Flats > DHA Defence Flats > DHA Phase 8 Flats > Emaar Crescent Bay Flats > Emaar Pearl Towers Flats,272.0,3.0,4.0,72500000.0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Flat 45762296,https://www.zameen.com/Property/dha_phase_8_hmr_waterfront_3_bedroom_apartment_available_on_easy_instalment_in_hmr_waterfront_tower-45762296-19639-1.html,Karachi Flats > DHA Defence Flats > DHA Phase 8 Flats > HMR Waterfront Flats,264.0,3.0,4.0,90000000.0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Flat 45982032,https://www.zameen.com/Property/dha_phase_8_hmr_waterfront_1bed_full_sea_facing_apartment_available_on_easy_instalment_plans_at_unbeatable_pre-launch_price-45982032-19639-1.html,Karachi Flats > DHA Defence Flats > DHA Phase 8 Flats > HMR Waterfront Flats,117.0,1.0,2.0,39500000.0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0.0,0.0,4.0,0.0,0.0,40.0,0.0,1.0,0.0,0.0
House 45269042,https://www.zameen.com/Property/d_h_a_dha_phase_5_phase_8_1000_sq_yard_brand_new_bangalow_designed_by_famous_architect-45269042-1482-1.html,Karachi Houses > DHA Defence Houses > DHA Phase 5 Houses,1000.0,6.0,6.0,210000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0
House 46136104,https://www.zameen.com/Property/d_h_a_dha_phase_7_kby_badban_laney_phase_7-46136104-1484-1.html,Karachi Houses > DHA Defence Houses > DHA Phase 7 Houses,500.0,5.0,5.0,85000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Flat 46476291,https://www.zameen.com/Property/d_h_a_dha_phase_6_dha_karachi_phase_vi_bukhari_comm_first_floor_apartment_for_sale-46476291-1483-1.html,Karachi Flats > DHA Defence Flats > DHA Phase 6 Flats,133.0,3.0,3.0,19000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
