Identity,Link,Location,Area,Beds,Baths,Price,Balloted,Boundary Wall,Corner,Disputed,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply,Distance From Airport (kms)
Commercial Plot 45583106,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c_commercial_plot_for_sale_in_bahria_enclave_-_sector_c_avenue-45583106-11973-2.html,Islamabad Commercial Plots > Bahria Town Commercial Plots > Bahria Enclave Commercial Plots > Bahria Enclave - Sector C Commercial Plots,151.1,0.0,0.0,55000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0
Residential Plot 46149234,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_5m_on_ideal_location_plot_for_sale_in_sector_n-46149234-11975-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector N Residential Plots,151.1,0.0,0.0,9200000.0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1.0
Commercial Plot 46697640,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_8_marla_commercial_plot_available_for_sell_in_bahria_enclave_islamabad_in_sectoe_c1-46697640-11987-2.html,Islamabad Commercial Plots > Bahria Town Commercial Plots > Bahria Enclave Commercial Plots > Bahria Enclave - Sector C1 Commercial Plots,241.76,0.0,0.0,58500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Commercial Plot 47208755,https://www.zameen.com/Property/islamabad_bahria_town_bahria_town_paradise_commercial_27_marla_plot_for_sale-47208755-383-2.html,Islamabad Commercial Plots > Bahria Town Commercial Plots,785.772,0.0,0.0,200000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 45923607,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_8_marla_plot_in_sector_n_bahria_enclave_islamabad-45923607-11975-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector N Residential Plots,241.76,0.0,0.0,12000000.0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1.0
Residential Plot 45888649,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_10_marla_solid_land_top_beautiful_location_plot_for_sale-45888649-11987-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector C1 Residential Plots,302.2,0.0,0.0,17800000.0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1.0
Commercial Plot 47245714,https://www.zameen.com/Property/bahria_town_bahria_oriental_garden_open_transfer_commercial_plot_no_19_available_in_oriental_garden_commercial-47245714-13813-2.html,Islamabad Commercial Plots > Bahria Town Commercial Plots > Bahria Oriental Garden Commercial Plots,423.08,0.0,0.0,100000000.0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0.0
Residential Plot 47148764,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_sector_n_8_marla_plot_residential_plot_for_sale-47148764-11975-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector N Residential Plots,241.76,0.0,0.0,10200000.0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.0
Residential Plot 46927083,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_extension_10_marla_possession_plot_for_sale_in_sector_c1_extension-46927083-20394-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector C1 Extension Residential Plots,302.2,0.0,0.0,12800000.0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1.0
Residential Plot 47314020,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_f_sector_f_top_location_kanal_plot_up_for_sale_bahria_enclave_islamabad_back_open_for_the_life_time_solid_land_ready_for_construction_price_395_lac-47314020-11985-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector F Residential Plots,604.44,0.0,0.0,39500000.0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1.0
Residential Plot 45544893,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_8_marla_solid_land_plot_available_for_sale_possession_able_plot-45544893-11975-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector N Residential Plots,241.76,0.0,0.0,11000000.0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0.0
