Identity,Link,Location,Area,Beds,Baths,Price,ATM Machines,Balloted,Barbeque Area,Broadband Internet Access,Business Center or Media Room in Building,Central Air Conditioning,Central Heating,Communal/Shared Kitchen,Community Centre,Community Gym,Community Lawn or Garden,Community Swimming Pool,Conference Room in Building,Day Care Centre,Dining Room,Disputed,Double Glazed Windows,Drawing Room,Electricity,Electricity Backup,Elevator or Lift,Facilities for Disabled,File,First Aid or Medical Centre,Flooring,Furnished,Gym,Intercom,Jacuzzi,Kids Play Area,Laundry Room,Laundry or Dry Cleaning Facility,Lawn or Garden,Lobby in Building,Lounge or Sitting Room,Maintenance Staff,Mosque,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Pet Policy,Possesion,Powder Room,Prayer Room,Satellite or Cable TV Ready,Sauna,Security Staff,Service Elevators in Building,Sewerage,Steam Room,Study Room,Sui Gas,Swimming Pool,Waste Disposal,Water Supply,Built in year,Distance From Airport (kms),Elevators,Floor,Floors,Floors in Building,Kitchens,Parking Spaces,Servant Quarters,Store Rooms
Flat 43096090,https://www.zameen.com/Property/emaar_crescent_bay_emaar_pearl_towers_4_bed_flat_for_sale_in_pearl_tower_emaar-43096090-10719-1.html,Karachi Flats > DHA Defence Flats > DHA Phase 8 Flats > Emaar Crescent Bay Flats > Emaar Pearl Towers Flats,292.0,4.0,5.0,88500000.0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1.0,1.0,1.0,1.0,0.0,26.0,1.0,1.0,1.0,1.0
House 46963984,https://www.zameen.com/Property/d_h_a_dha_phase_6_two_unit_house-46963984-1483-1.html,Karachi Houses > DHA Defence Houses > DHA Phase 6 Houses,500.0,6.0,6.0,90000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
House 45917057,https://www.zameen.com/Property/emaar_crescent_bay_emaar_pearl_towers_ideal_location_town_house_available_for_sale-45917057-10719-1.html,Karachi Houses > DHA Defence Houses > DHA Phase 8 Houses > Emaar Crescent Bay Houses > Emaar Pearl Towers Houses,2000.0,2.0,3.0,87000000.0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
House 46667452,https://www.zameen.com/Property/d_h_a_dha_phase_8_we_offer_top_modern_house_500_yards_a_plus_contraction_stylish_villa_most_prime_posh_vicinity-46667452-1485-1.html,Karachi Houses > DHA Defence Houses > DHA Phase 8 Houses,500.0,5.0,6.0,127500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0
Flat 45818237,https://www.zameen.com/Property/emaar_crescent_bay_emaar_pearl_towers_chance_deal_apartment_available_for_sale_in_pearl_tower-45818237-10719-1.html,Karachi Flats > DHA Defence Flats > DHA Phase 8 Flats > Emaar Crescent Bay Flats > Emaar Pearl Towers Flats,233.0,3.0,4.0,65000000.0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
House 46035544,https://www.zameen.com/Property/d_h_a_dha_phase_7_like_new_house_for_sale-46035544-1484-1.html,Karachi Houses > DHA Defence Houses > DHA Phase 7 Houses,561.0,6.0,6.0,145000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0
Flat 47169599,https://www.zameen.com/Property/dha_phase_7_jami_commercial_area_3_bed_room_luxury_flat-47169599-8492-1.html,Karachi Flats > DHA Defence Flats > DHA Phase 7 Flats > Jami Commercial Area Flats,228.0,3.0,5.0,29000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House 45629432,https://www.zameen.com/Property/d_h_a_dha_phase_6_defence_500_vi_near_hafiz_top_class_designer_house_for_sale-45629432-1483-1.html,Karachi Houses > DHA Defence Houses > DHA Phase 6 Houses,500.0,5.0,6.0,140000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
House 45896062,https://www.zameen.com/Property/d_h_a_dha_phase_6_an_exquisite_1000_square_yard_architect_designed_bungalow_with_6_bedrooms_on_ideal_location_of_dha_phase_6_main_26th_street_is_available_for_sale-45896062-1483-1.html,Karachi Houses > DHA Defence Houses > DHA Phase 6 Houses,1000.0,6.0,6.0,190000000.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,1.0
Flat 45349815,https://www.zameen.com/Property/emaar_crescent_bay_emaar_pearl_towers_3_bed_d_d_apartment_for_sale_in_emaar_pearl_towers_dha_phase_8-45349815-10719-1.html,Karachi Flats > DHA Defence Flats > DHA Phase 8 Flats > Emaar Crescent Bay Flats > Emaar Pearl Towers Flats,289.0,3.0,3.0,67500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
