Identity,Link,Location,Area,Beds,Baths,Price,Balloted,Barbeque Area,Boundary Wall,Broadband Internet Access,Central Air Conditioning,Community Centre,Community Gym,Community Lawn or Garden,Corner,Day Care Centre,Dining Room,Disputed,Drawing Room,Electricity,Electricity Backup,File,First Aid or Medical Centre,Flooring,Gym,Intercom,Jacuzzi,Kids Play Area,Laundry Room,Lawn or Garden,Lobby in Building,Lounge or Sitting Room,Mosque,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Park Facing,Possesion,Powder Room,Prayer Room,Satellite or Cable TV Ready,Sauna,Security Staff,Sewerage,Steam Room,Study Room,Sui Gas,Waste Disposal,Water Supply,Built in year,Distance From Airport (kms),Floors,Kitchens,Parking Spaces,Store Rooms
Residential Plot 45996121,https://www.zameen.com/Property/d_h_a_dha_phase_2_1000_yards_residential_plot_for_sale_on_most_prime_location_on_hill_area_phase_2-45996121-1479-2.html,Karachi Residential Plots > DHA Defence Residential Plots > DHA Phase 2 Residential Plots,1000.0,0.0,0.0,220000000.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
Residential Plot 41569381,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_-_zone_b_500_yards_plot_for_sale-41569381-6678-2.html,Karachi Residential Plots > DHA Defence Residential Plots > DHA Phase 8 Residential Plots > DHA Phase 8 - Zone B Residential Plots,500.0,0.0,0.0,70000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
Residential Plot 44303990,https://www.zameen.com/Property/phase_8_dha_phase_8_extension_4500_square_feet_residential_plot_in_only_rs_41_500_000-44303990-1675-2.html,Karachi Residential Plots > DHA Defence Residential Plots > DHA Phase 8 Residential Plots > DHA Phase 8 Extension Residential Plots,500.0,0.0,0.0,41500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Residential Plot 46131085,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_-_zone_b_666_yards_plot_for_sale_in_dha_phase_8_zone_b-46131085-6678-2.html,Karachi Residential Plots > DHA Defence Residential Plots > DHA Phase 8 Residential Plots > DHA Phase 8 - Zone B Residential Plots,666.0,0.0,0.0,92000000.0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
Residential Plot 42716186,https://www.zameen.com/Property/d_h_a_dha_phase_8_centrally_located_residential_plot_in_dha_phase_8_is_available_for_sale-42716186-1485-2.html,Karachi Residential Plots > DHA Defence Residential Plots > DHA Phase 8 Residential Plots,666.0,0.0,0.0,65000000.0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
Residential Plot 46035984,https://www.zameen.com/Property/d_h_a_dha_phase_6_500_yards_pair_residential_plot_for_sale_on_18th_street_off_muhafiz-46035984-1483-2.html,Karachi Residential Plots > DHA Defence Residential Plots > DHA Phase 6 Residential Plots,1000.0,0.0,0.0,195000000.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
Residential Plot 46622261,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_-_zone_a_500_yards_plots_for_sale_on_dha_phase_8_zone_a-46622261-6677-2.html,Karachi Residential Plots > DHA Defence Residential Plots > DHA Phase 8 Residential Plots > DHA Phase 8 - Zone A Residential Plots,500.0,0.0,0.0,80000000.0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
Commercial Plot 46758527,https://www.zameen.com/Property/dha_defence_dha_phase_7_extension_buying_a_commercial_plot_in_dha_phase_7_extension_karachi-46758527-1674-2.html,Karachi Commercial Plots > DHA Defence Commercial Plots > DHA Phase 7 Extension Commercial Plots,100.0,0.0,0.0,45000000.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
Residential Plot 46323949,https://www.zameen.com/Property/d_h_a_dha_phase_7_500sq_yd_plot_available_in_dha_phase_7_corner_best_place_for_home_maker-46323949-1484-2.html,Karachi Residential Plots > DHA Defence Residential Plots > DHA Phase 7 Residential Plots,500.0,0.0,0.0,72500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Residential Plot 46902605,https://www.zameen.com/Property/d_h_a_dha_phase_4_500_yards_residential_plot_for_sale_on_golf_course_road_1_at_most_prime_location-46902605-1481-2.html,Karachi Residential Plots > DHA Defence Residential Plots > DHA Phase 4 Residential Plots,500.0,0.0,0.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
